id,model_year,make,model,trim,fuel_type,canadian_made,price_cap_cad,published_year,incentive_purchase_or_48mo,incentive_36mo,incentive_24mo,incentive_12mo,first_seen,last_seen,source_row_hash
2027-chevrolet-bolt-lt,2027,Chevrolet,Bolt,LT,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,f151c6124923836a
2027-chevrolet-bolt-rs,2027,Chevrolet,Bolt,RS,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,d784b350942ff0a2
2027-chevrolet-equinox-ev-lt-1,2027,Chevrolet,Equinox EV,LT 1,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,6b48e7119468b529
2027-chevrolet-equinox-ev-lt-2,2027,Chevrolet,Equinox EV,LT 2,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,389b0707d07d0f1c
2027-chevrolet-equinox-ev-lt1-awd,2027,Chevrolet,Equinox EV,LT1 AWD,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,0a415f44cfdb8563
2026-chevrolet-equinox-ev-lt,2026,Chevrolet,Equinox EV,LT,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,c018dfd477d93854
2026-chevrolet-equinox-ev-lt-awd,2026,Chevrolet,Equinox EV,LT AWD,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,b0203d08e9804e48
2025-chevrolet-equinox-ev-lt,2025,Chevrolet,Equinox EV,LT,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,7ef7f08e98a3e109
2025-chevrolet-equinox-ev-lt-awd,2025,Chevrolet,Equinox EV,LT AWD,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,46fae3f21fac8f76
2025-chevrolet-equinox-ev-rs,2025,Chevrolet,Equinox EV,RS,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,6dd0ff5a85727cd4
2026-chrysler-pacifica-100th,2026,Chrysler,Pacifica,100th,PHEV,1,,2026,2500,1875,1250,625,2026-09-12,2026-09-12,d44dc6afee30ec39
