id,msrp_cad,freight_pdi_cad,source_url,as_of,confidence,notes
2027-chevrolet-bolt-lt,39999,,https://www.gm.ca/en/home/company/canada/pdc.detail.html/Pages/news/ca/en/2025/oct/1009_2027-chevrolet-bolt.html,2025-10-09,medium,"GM Canada release; all-in $43,470 incl. freight/AC/dealer fees"
2027-chevrolet-bolt-rs,42599,,https://www.gm.ca/en/home/company/canada/pdc.detail.html/Pages/news/ca/en/2025/oct/1009_2027-chevrolet-bolt.html,2025-10-09,medium,"GM Canada release; all-in $46,070"
2027-chevrolet-equinox-ev-lt-1,,,,,,2027 Canadian pricing not yet published; only US pricing found (gmauthority 2026-08)
2027-chevrolet-equinox-ev-lt-2,,,,,,2027 Canadian pricing not yet published; only US pricing found (gmauthority 2026-08)
2027-chevrolet-equinox-ev-lt1-awd,,,,,,2027 Canadian pricing not yet published; only US pricing found (gmauthority 2026-08)
2026-chevrolet-equinox-ev-lt,46199,2600,https://www.guideautoweb.com/en/makes/chevrolet/equinox-ev/2026/specifications/rs-awd/,2026-09-12,high,
2026-chevrolet-equinox-ev-lt-awd,49699,2600,https://www.guideautoweb.com/en/makes/chevrolet/equinox-ev/2026/specifications/rs-awd/,2026-09-12,high,
2025-chevrolet-equinox-ev-lt,44999,2500,https://www.guideautoweb.com/en/makes/chevrolet/equinox-ev/2025/specifications/2lt-fwd/,2026-09-12,high,Car Guide lists trim as 2LT FWD
2025-chevrolet-equinox-ev-lt-awd,48499,2500,https://www.guideautoweb.com/en/makes/chevrolet/equinox-ev/2025/specifications/2lt-fwd/,2026-09-12,high,Car Guide lists trim as 2LT AWD
2025-chevrolet-equinox-ev-rs,49999,2500,https://www.guideautoweb.com/en/makes/chevrolet/equinox-ev/2025/specifications/2lt-fwd/,2026-09-12,high,RS FWD
2026-chrysler-pacifica-100th,62490,2295,https://www.guideautoweb.com/en/makes/chrysler/pacifica/2026/specifications/phev-select/,2026-09-12,high,
2026-chrysler-pacifica-limited,69485,2295,https://www.guideautoweb.com/en/makes/chrysler/pacifica/2026/specifications/phev-select/,2026-09-12,high,
2026-chrysler-pacifica-pinnacle,74220,2295,https://www.guideautoweb.com/en/makes/chrysler/pacifica/2026/specifications/phev-select/,2026-09-12,high,
2026-chrysler-pacifica-select,59995,2295,https://www.guideautoweb.com/en/makes/chrysler/pacifica/2026/specifications/phev-select/,2026-09-12,high,
2025-chrysler-pacifica-fav,52980,2195,https://www.lakeviewchrysler.ca/2025-chrysler-pacifica-plug-in-hybrid-for-sale/,2026-09-12,low,FAV Edition price from dealer page; verify
2025-chrysler-pacifica-limited,67990,2195,https://www.guideautoweb.com/en/makes/chrysler/pacifica/2025/specifications/hybrid-select/,2026-09-12,high,Hybrid Limited S Appearance
2025-chrysler-pacifica-select,59995,2195,https://www.guideautoweb.com/en/makes/chrysler/pacifica/2025/specifications/hybrid-select/,2026-09-12,high,
2026-dodge-charger-r-t,,,https://www.guideautoweb.com/en/makes/dodge/charger/2026/specifications/daytona-scat-pack/,2026-09-12,,"No electric Daytona R/T offered for 2026 per Car Guide; R/T $59,995 is the gas Sixpack"
2026-dodge-charger-scat-pack,82500,2695,https://www.guideautoweb.com/en/makes/dodge/charger/2026/specifications/daytona-scat-pack/,2026-09-12,high,"2-door Daytona Scat Pack; 4-door is $85,000"
2025-dodge-charger-r-t,54995,2695,https://www.guideautoweb.com/en/makes/dodge/charger/2025/specifications/daytona-r-t/,2026-09-12,high,
